Designator,Manufacturer P/N,Manufacturer,Qty
"C1, C2",CC0603JRNPO9BN220,DigiKey,2
"C3, C5",CL10A106KP8NNNC,DigiKey,2
"C4, C6, C7, C8, C9",06035C104KAZ2A,DigiKey,5
"D1, D2",19-21SYGC/S530-E2/TR8,DigiKey,2
J2,20021121-00006C4LF,DigiKey,1
J1,95278-101A04LF,DigiKey,1
"R1, R2, R3, R4, R5, R6, R7, R8, R10, R12, R13, R14, R15",RC0603FR-0710KL,DigiKey,13
"R9, R11",RC0603FR-07100RL,DigiKey,2
U1,MIC5205-3.3YM5-TR,DigiKey,1
U2,SHT31-DIS-B2.5KS,DigiKey,1
U3,BNO055,DigiKey,1
U4,ATMEGA328P-MU,DigiKey,1
Y1,ABS07-32.768KHZ-T,DigiKey,1
"TH1, TH2, TH3, TH4",NTCG163JF103FT1S,DigiKey,4