Designator,Manufacturer,Manufacturer P/N,Qty
"C1, C2",DigiKey,CC0603JRNPO9BN220,2
"C3, C5",DigiKey,CL10A106KP8NNNC,2
"C4, C6, C7, C8, C9",DigiKey,06035C104KAZ2A,5
"D1, D2",DigiKey,19-21SYGC/S530-E2/TR8,2
J2,DigiKey,20021121-00006C4LF,1
J1,DigiKey,95278-101A04LF,1
"R1, R2, R3, R4, R5, R6, R7, R8, R10, R12, R13, R14, R15",DigiKey,RC0603FR-0710KL,13
"R9, R11",DigiKey,RC0603FR-07100RL,2
U1,DigiKey,MIC5205-3.3YM5-TR,1
U2,DigiKey,SHT31-DIS-B2.5KS,1
U3,DigiKey,BNO055,1
U4,DigiKey,ATMEGA328P-MU,1
Y1,DigiKey,ABS07-32.768KHZ-T,1
"TH1, TH2, TH3, TH4",DigiKey,NTCG163JF103FT1S,4